33;13;819
48;14;479
47;6;507
28;17;851
6;8;1416
46;13;1126
3;9;1102
31;17;1155
35;10;100
3;6;786
1;5;639
45;8;1233
45;4;279
13;13;472
37;4;548
37;20;1212
2;17;1338
22;14;1095
2;18;248
43;15;158
29;1;341
25;14;519
19;12;324
26;10;590
16;14;934
2;9;1340
49;1;1214
27;15;1423
1;11;1162
47;9;292
11;4;747
28;6;686
48;10;865
5;2;534
29;3;1229
21;2;1195
38;16;1338
6;3;722
15;11;1069
29;19;704
3;20;774
22;15;595
27;20;600
42;2;161
36;5;243
46;1;1181
9;19;806
27;15;1014
38;9;1212
20;7;759
39;3;562
4;3;350
27;5;612
4;18;1061
9;20;1032
47;9;652
18;17;820
4;8;173
37;1;314
13;14;304
38;14;154
30;19;303
2;8;387
10;11;1471
46;2;612
37;10;1229
36;18;970
31;13;765
27;12;954
16;6;1097
23;1;560
1;10;702
33;17;1431
21;10;742
1;15;705
23;7;582
19;19;982
38;19;1154
46;5;273
39;2;1295
13;5;316
5;4;1005
15;4;831
17;17;1446
38;16;450
24;20;1159
19;16;1131
44;3;375
16;3;167
28;1;1251
23;18;97
40;11;1405
24;5;1113
32;8;491
19;20;1147
9;10;360
23;15;756
1;16;409
6;13;1155
27;13;991
4;1;1308
15;7;1267
10;1;425
10;20;810
42;19;122
2;10;1393
1;1;243
17;18;389
26;7;999
11;1;619
11;19;1284
26;18;906
43;19;289
5;13;1378
17;5;732
43;15;1397
20;8;990
50;5;707
3;1;515
30;4;69
13;9;345
40;6;764
41;6;649
41;10;1023
38;3;221
30;2;1383
12;17;79
36;3;872
27;17;188
27;15;1183
14;5;214
25;19;940
27;19;1138
44;20;666
42;9;1193
11;14;991
15;14;201
20;9;898
10;6;1293
38;18;174
5;15;969
3;16;148
29;12;259
40;20;1279
17;12;1054
2;6;182
19;11;724
45;1;795
22;8;307
2;5;1042
48;8;350
40;9;1298
12;7;930
19;19;1353
11;7;689
3;5;367
44;16;1311
34;17;464
30;20;936
10;9;730
18;1;1436
34;12;1208
6;17;871
11;10;595
14;10;721
19;2;975
23;12;1448
36;5;1029
24;11;1425
34;9;1489
43;2;219
40;5;170
38;3;1305
39;10;485
36;4;1430
18;15;779
48;12;1116
24;19;906
49;19;1113
16;6;1147
36;5;642
45;2;955
45;14;461
35;11;803
30;6;696
30;8;875
8;10;151
6;15;526
21;8;112
18;2;585
46;4;593
35;4;107
8;14;1045
36;14;842
19;18;915
6;19;1157
46;12;1437
12;8;616
1;2;1265
10;11;866
35;1;1146
27;12;1404
7;17;111
1;15;178
13;2;1469
2;5;792
46;9;473
3;20;227
20;15;1479
12;5;303
48;8;452
19;7;1029
20;6;414
49;14;397
49;10;609
32;6;424
25;12;1120
4;19;781
47;8;636
23;10;1151
26;14;91
48;11;749
4;8;721
47;10;717
38;7;828
31;7;1226
33;3;450
40;18;1205
1;12;162
21;1;1353
13;10;1053
25;3;658
15;11;551
21;20;319
32;12;431
7;4;1272
3;6;1423
16;12;1139
42;4;251
46;10;702
28;13;535
17;7;748
44;8;661
13;14;237
41;9;1301
34;1;400
33;2;1381
16;20;1019
18;12;1128
15;19;1387
44;2;1098
2;3;131
10;17;688
48;1;498
41;10;230
43;14;860
20;10;1127
39;5;420
35;4;363
34;9;1320
46;18;1039
29;15;964
22;8;517
37;7;362
16;2;1373
19;5;1481
38;12;761
5;3;1134
47;18;54
2;14;324
7;4;253
37;18;578
7;15;318
4;18;499
5;4;90
31;8;733
25;15;418
28;2;921
48;12;325
38;17;1227
42;15;1287
30;19;1061
3;12;776
20;17;571
30;12;1232
17;3;1492
2;8;676
5;13;973
47;6;1077
1;13;988
11;1;343
9;18;1425
9;8;1159
8;8;1456
14;8;1014
5;8;243
38;16;341
30;20;965
39;16;381
19;13;702
35;10;1291
50;10;1043
8;13;1016
1;7;241
22;1;795
24;14;1180
37;3;667
49;9;919
