15;204;16040 
39;173;15014 
9;281;18713 
43;171;12368 
26;285;16471 
42;191;15537 
37;300;17859 
41;282;17858 
38;155;13865 
11;247;15988 
13;149;13818 
27;258;21192 
36;244;19833 
5;285;20747 
17;288;23711 
40;213;16763 
4;163;9510 
20;171;15468 
31;185;13383 
24;194;15574 
1;221;20260 
2;182;11788 
32;122;11816 
21;269;19961 
18;282;19475 
16;295;21455 
7;171;10742 
6;192;12645 
46;246;16657 
25;274;18066 
12;197;16620 
33;239;16275 
22;164;18125 
49;151;10396 
50;144;13396 
44;201;19747 
35;282;17326 
30;283;19177 
3;222;15955 
29;158;11495 
45;152;10062 
23;177;14715 
48;135;10397 
28;195;15191 
34;192;18805 
10;174;10151 
14;179;22499 
19;175;13814 
8;197;13965 
47;165;12705 
